Name	Type	Class	Power	Hit	PP
アクアリング	みず	変化0	0	10000	20
あくび	ノーマル	変化15	0	10000	10
あくまのキッス	ノーマル	変化15	0	75	10
あさのひざし	ノーマル	変化0	0	10000	5
あまいかおり	ノーマル	変化15	0	100	20
あまえる	フェアリー	変化15	0	100	20
あまごい	みず	変化0	0	10000	5
あやしいひかり	ゴースト	変化15	0	100	10
アロマセラピー	くさ	変化0	0	10000	5
アロマミスト	フェアリー	変化0	0	100	20
アンコール	ノーマル	変化13	0	100	5
いえき	どく	変化15	0	100	10
いかりのこな	むし	変化0	0	10000	20
いたみわけ	ノーマル	変化15	0	10000	20
いちゃもん	あく	変化15	0	100	15
いとをはく	むし	変化15	0	95	40
いのちのしずく	みず	変化0	0	10000	10
いばる	ノーマル	変化15	0	85	15
いやしのすず	ノーマル	変化0	0	10000	5
いやしのねがい	エスパー	変化0	0	10000	10
いやしのはどう	エスパー	変化15	0	10000	10
いやなおと	ノーマル	変化13	0	85	40
うそなき	あく	変化15	0	100	20
うたう	ノーマル	変化13	0	55	15
うつしえ	ノーマル	変化6	0	100	10
うらみ	ゴースト	変化14	0	10000	10
エレキフィールド	でんき	変化0	0	10000	10
えんまく	ノーマル	変化15	0	100	20
おいかぜ	ひこう	変化0	0	10000	15
おいわい	ノーマル	変化0	0	10000	40
オーロラベール	こおり	変化0	0	10000	20
おかたづけ	ノーマル	変化0	0	10000	10
おきみやげ	あく	変化7	0	100	10
おさきにどうぞ	ノーマル	変化0	0	10000	15
おたけび	ノーマル	変化13	0	100	30
おだてる	あく	変化14	0	100	15
おちゃかい	ノーマル	変化5	0	10000	10
おにび	ほのお	変化15	0	85	15
ガードシェア	エスパー	変化5	0	100	10
ガードスワップ	エスパー	変化7	0	100	10
かいでんぱ	でんき	変化15	0	100	15
かいふくふうじ	エスパー	変化15	0	100	15
かえんのまもり	ほのお	変化0	0	10000	10
かげぶんしん	ノーマル	変化0	0	10000	15
かたくなる	ノーマル	変化0	0	10000	30
かなしばり	ノーマル	変化13	0	100	20
からにこもる	みず	変化0	0	10000	40
からをやぶる	ノーマル	変化0	0	10000	15
きあいだめ	ノーマル	変化0	0	10000	30
ギアチェンジ	はがね	変化0	0	10000	10
