Move	Object	Prob	A	B	C	D	S	Hit	Evasion	PSN	PAR	BRN	SLP	FLZ	Confusion	Flinch
オーロラビーム	1	0.1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
じゃれつく	1	0.1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
はるのあらし	1	0.3	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
うらみつらみ	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
とびかかる	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
トロピカルキック	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
ひやみず	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
ワイドブレイカー	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
アクアブレイク	1	0.2	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
かみくだく	1	0.2	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
シャドーボーン	1	0.2	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
アイアンテール	1	0.3	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
3ぼんのや	1	0.5	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
いわくだき	1	0.5	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
シェルブレード	1	0.5	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
ブレイククロー	1	0.5	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
Gのちから	1	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
ほのおのムチ	1	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
らいめいげり	1	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
ムーンフォース	1	0.3	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
ミストボール	1	0.5	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
ソウルクラッシュ	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
バークアウト	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
はいよるいちげき	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
マジカルフレイム	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
むしのていこう	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
エナジーボール	1	0.1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
きあいだま	1	0.1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
サイコキネシス	1	0.1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
