Num	Name	Type1	Type2	Ability1	Ability2	Ability3	Ability4	Base H	Base A	Base B	Base C	Base D	Base S
906	ニャオハ	くさ	-	しんりょく	へんげんじざい	-	-	40	61	54	45	45	65
907	ニャローテ	くさ	-	しんりょく	へんげんじざい	-	-	61	80	63	60	63	83
908	マスカーニャ	くさ	あく	しんりょく	へんげんじざい	-	-	76	110	70	81	70	123
909	ホゲータ	ほのお	-	もうか	てんねん	-	-	67	45	59	63	40	36
910	アチゲータ	ほのお	-	もうか	てんねん	-	-	81	55	78	90	58	49
911	ラウドボーン	ほのお	ゴースト	もうか	てんねん	-	-	104	75	100	110	75	66
912	クワッス	みず	-	げきりゅう	じしんかじょう	-	-	55	65	45	50	45	50
913	ウェルカモ	みず	-	げきりゅう	じしんかじょう	-	-	70	85	65	65	60	65
914	ウェーニバル	みず	かくとう	げきりゅう	じしんかじょう	-	-	85	120	80	85	75	85
915	グルトン	ノーマル	-	アロマベール	くいしんぼう	あついしぼう	-	54	45	40	35	45	35
916	パフュートン(オス)	ノーマル	-	とれないにおい	くいしんぼう	あついしぼう	-	110	100	75	59	80	65
916-1	パフュートン(メス)	ノーマル	-	アロマベール	くいしんぼう	あついしぼう	-	115	90	70	59	90	65
917	タマンチュラ	むし	-	ふみん	はりこみ	-	-	35	41	45	29	40	20
918	ワナイダー	むし	-	ふみん	はりこみ	-	-	60	79	92	52	86	35
919	マメバッタ	むし	-	むしのしらせ	いろめがね	-	-	33	46	40	21	25	45
920	エクスレッグ	むし	あく	むしのしらせ	いろめがね	-	-	71	102	78	52	55	92
187	ハネッコ	くさ	ひこう	ようりょくそ	リーフガード	すりぬけ	-	35	35	40	35	55	50
188	ポポッコ	くさ	ひこう	ようりょくそ	リーフガード	すりぬけ	-	55	45	50	45	65	80
189	ワタッコ	くさ	ひこう	ようりょくそ	リーフガード	すりぬけ	-	75	55	70	55	95	110
661	ヤヤコマ	ノーマル	ひこう	はとむね	はやてのつばさ	-	-	45	50	43	40	38	62
662	ヒノヤコマ	ほのお	ひこう	ほのおのからだ	はやてのつばさ	-	-	62	73	55	56	52	84
663	ファイアロー	ほのお	ひこう	ほのおのからだ	はやてのつばさ	-	-	78	81	71	74	69	126
921	パモ	でんき	-	せいでんき	しぜんかいふく	てつのこぶし	-	45	50	20	40	25	60
922	パモット	でんき	かくとう	ちくでん	しぜんかいふく	てつのこぶし	-	60	75	40	50	40	85
923	パーモット	でんき	かくとう	ちくでん	しぜんかいふく	てつのこぶし	-	70	115	70	70	60	105
228	デルビル	あく	ほのお	はやおき	もらいび	きんちょうかん	-	45	60	30	80	50	65
229	ヘルガー	あく	ほのお	はやおき	もらいび	きんちょうかん	-	75	90	50	110	80	95
734	ヤングース	ノーマル	-	はりこみ	がんじょうあご	てきおうりょく	-	48	70	30	30	30	45
735	デカグース	ノーマル	-	はりこみ	がんじょうあご	てきおうりょく	-	88	110	60	55	60	45
819	ホシガリス	ノーマル	-	ほおぶくろ	くいしんぼう	-	-	70	55	55	35	35	25
820	ヨクバリス	ノーマル	-	ほおぶくろ	くいしんぼう	-	-	120	95	95	55	75	20
191	ヒマナッツ	くさ	-	ようりょくそ	サンパワー	はやおき	-	30	30	30	30	30	30
192	キマワリ	くさ	-	ようりょくそ	サンパワー	はやおき	-	75	75	55	105	85	30
401	コロボーシ	むし	-	だっぴ	にげあし	-	-	37	25	41	25	41	25
402	コロトック	むし	-	むしのしらせ	テクニシャン	-	-	77	85	51	55	51	65
664	コフキムシ	むし	-	りんぷん	ふくがん	フレンドガード	-	38	35	40	27	25	35
